,created_at,username,acctdesc,location,total_tweets_created,account_creation_date,retweetcounts,hashtags,tweet_text,username,tweet_text,emojis,emoji_count,clean_text,word_count
11,2021-03-31 13:55:08,MCCarroll,Columnist | Writer | Terrorist Negotiator #Binders,"Aspen, Colorado",3129,2009-02-19 04:26:51,0,"[{'text': 'aspen', 'indices': [105, 111]}, {'text': 'colorado', 'indices': [112, 121]}, {'text': 'wednesdaythought', 'indices': [122, 139]}, {'text': 'pandemicfatigue', 'indices': [140, 156]}]",My column in today's @TheAspenTimes — Aspen’s un-livability factor creeps higher https://t.co/IGrVBdAnOG #aspen #colorado #wednesdaythought #pandemicfatigue,MCCarroll,My column in today's @TheAspenTimes - Aspens un-livability factor creeps higher #aspen #colorado #wednesdaythought #pandemicfatigue,,0,my column in today's theaspentimes aspens un livability factor creeps higher aspen colorado wednesdaythought pandemicfatigue,15
12,2021-03-31 13:51:59,nabpac,NABPAC is the nation's only trade association solely dedicated to promoting and defending PACs and providing ongoing education and compliance services.,"Washington, DC",1167,2011-02-08 18:51:05,1,"[{'text': 'COVIDFatigue', 'indices': [4, 17]}, {'text': 'PAC', 'indices': [142, 146]}, {'text': 'CompassionateComms', 'indices': [225, 244]}, {'text': 'PACs', 'indices': [245, 250]}, {'text': 'MemberCommunications', 'indices': [251, 272]}]",Got #COVIDFatigue? Then your company employees probably do too. How can you continue to communicate in an empathetic way while advancing your #PAC goals? Find 20 creative ways to serve employees here: https://t.co/sdbYCH7xL1 #CompassionateComms #PACs #MemberCommunications,nabpac,Got #COVIDFatigue? Then your company employees probably do too. How can you continue to communicate in an empathetic way while advancing your #PAC goals? Find 20 creative ways to serve employees here: #CompassionateComms #PACs #MemberCommunications,,0,got covidfatigue then your company employees probably do too how can you continue to communicate in an empathetic way while advancing your pac goals find 20 creative ways to serve employees here compassionatecomms pacs membercommunications,35
13,2021-03-31 12:54:58,mh_innovations,Transforming workplace mental health through the power of human connection. https://t.co/YIQlOZI4c3,,60,2020-07-13 16:00:26,0,"[{'text': 'mentalhealth', 'indices': [126, 139]}, {'text': 'MentalHealthMatters', 'indices': [140, 160]}, {'text': 'supportyourpeople', 'indices': [161, 179]}, {'text': 'employeewellbeing', 'indices': [180, 198]}, {'text': 'empathy', 'indices': [199, 207]}, {'text': 'leadership', 'indices': [208, 219]}, {'text': 'management', 'indices': [220, 231]}, {'text': 'humanresources', 'indices': [232, 247]}, {'text': 'covidfatigue', 'indices': [248, 261]}, {'text': 'culture', 'indices': [262, 270]}, {'text': 'stress', 'indices': [271, 278]}]","(2/2) 

Learn more about how to support someone who is struggling and create a caring work culture: https://t.co/4Vjd9TS8Q2 

#mentalhealth #MentalHealthMatters #supportyourpeople #employeewellbeing #empathy #leadership #management #humanresources #covidfatigue #culture #stress",mh_innovations,(2/2) Learn more about how to support someone who is struggling and create a caring work culture: #mentalhealth #MentalHealthMatters #supportyourpeople #employeewellbeing #empathy #leadership #management #humanresources #covidfatigue #culture #stress,,0,2 2 learn more about how to support someone who is struggling and create a caring work culture mentalhealth mentalhealthmatters supportyourpeople employeewellbeing empathy leadership management humanresources covidfatigue culture stress,29
14,2021-03-31 12:20:00,senexy27,Dreams are just lies that we tell ourselves while we're asleep.,City of Bridges,35466,2019-12-20 13:37:28,0,"[{'text': 'Easter', 'indices': [61, 68]}, {'text': 'covidfatigue', 'indices': [130, 143]}]","The way I look at it, people are going to gather in Ont. for #Easter regardless of what @fordnation says. People are experiencing #covidfatigue",senexy27,"The way I look at it, people are going to gather in Ont. for #Easter regardless of what @fordnation says. People are experiencing #covidfatigue",,0,the way i look at it people are going to gather in ont for easter regardless of what fordnation says people are experiencing covidfatigue,24
15,2021-03-31 11:33:06,data4all,COVID survivor! Internet of Things&#SmartAging thought leader. Wrote The Future Is Smart&Data Dynamite. Bookworm. Swamp Yankee. Enviro. Twitter user #2654 ENFP,"Massachusetts, USA",88877,2006-07-20 15:06:21,0,"[{'text': 'COVIDfatigue', 'indices': [41, 54]}]",Anyone else stressed 2 breaking point by #COVIDfatigue? My wife &amp; I can’t get good night sleep &amp; have terrible time focusing,data4all,Anyone else stressed 2 breaking point by #COVIDfatigue? My wife and I cant get good night sleep and have terrible time focusing,,0,anyone else stressed 2 breaking point by covidfatigue my wife and i cant get good night sleep and have terrible time focusing,22
16,2021-03-31 11:31:22,thenihilistkier,"2ft 38 inches tall. 🏳️‍🌈🇨🇦🏴󠁧󠁢󠁳󠁣󠁴󠁿 
#NewsJunkie #thoughtblog & #opinions you never asked for. 
Live aloha 🤙",Probably with the birds,1405,2016-06-12 15:46:55,0,"[{'text': 'Easter2021', 'indices': [34, 45]}, {'text': 'CovidFatigue', 'indices': [115, 128]}, {'text': 'vaccines', 'indices': [138, 147]}, {'text': 'vaccinated', 'indices': [179, 190]}, {'text': 'lockdown', 'indices': [196, 205]}]","$10 says he waits until after the #Easter2021 weekend.

Also, it's this type of back&amp;forth that is heightening #CovidFatigue. Fix the #vaccines rollout campaign, get our pop. #vaccinated, and #lockdown indoor spaces / gatherings. 
https://t.co/SkTPCNPW6U",thenihilistkier,"$10 says he waits until after the #Easter2021 weekend. Also, it's this type of backandforth that is heightening #CovidFatigue. Fix the #vaccines rollout campaign, get our pop. #vaccinated, and #lockdown indoor spaces / gatherings.",,0,10 says he waits until after the easter2021 weekend also it's this type of backandforth that is heightening covidfatigue fix the vaccines rollout campaign get our pop vaccinated and lockdown indoor spaces gatherings,33
17,2021-03-31 11:16:39,NJeriHinga1,"I love OceaN colourS🌅🌴 Actress👩‍🎤,Model💃,socialSpeaker🎤 and ContentCreator📝.#younique#gemini",,17,2021-02-08 18:33:34,2,"[{'text': 'UnlockOurCountry', 'indices': [17, 34]}, {'text': 'PandemicFatigue', 'indices': [52, 68]}, {'text': 'PandemicApathy', 'indices': [69, 84]}]","#UnlockOurCountry is a global cry.
#PandemicFatigue
#PandemicApathy https://t.co/L4zi062UtC",NJeriHinga1,#UnlockOurCountry is a global cry. #PandemicFatigue #PandemicApathy,,0,unlockourcountry is a global cry pandemicfatigue pandemicapathy,7
18,2021-03-31 09:00:49,AgeingWellBH,"We help people aged 50+ in Brighton & Hove find activities, groups, trips, befriending, and information in order to get the best from life.
T:  07770 061 072",Brighton & Hove,2520,2019-08-21 09:38:48,0,"[{'text': 'brightonandhove', 'indices': [96, 112]}, {'text': 'letsconnect', 'indices': [113, 125]}, {'text': 'communitysupport', 'indices': [126, 143]}, {'text': '50plusandfabulous', 'indices': [144, 162]}, {'text': 'loneliness', 'indices': [163, 174]}, {'text': 'covidfatigue', 'indices': [175, 188]}, {'text': 'isolationlife', 'indices': [189, 203]}, {'text': 'isolationcreation', 'indices': [204, 222]}, {'text': 'thingstodo', 'indices': [223, 234]}, {'text': 'activities', 'indices': [235, 246]}]","Download your activity pack now courtesy of The Hop 50+ Community team. https://t.co/cbh3EKBiKI
#brightonandhove #letsconnect #communitysupport #50plusandfabulous #loneliness #covidfatigue #isolationlife #isolationcreation #thingstodo #activities https://t.co/RXlc0pKTOL",AgeingWellBH,Download your activity pack now courtesy of The Hop 50+ Community team. #brightonandhove #letsconnect #communitysupport #50plusandfabulous #loneliness #covidfatigue #isolationlife #isolationcreation #thingstodo #activities,+,1,download your activity pack now courtesy of the hop 50 community team brightonandhove letsconnect communitysupport 50plusandfabulous loneliness covidfatigue isolationlife isolationcreation thingstodo activities,22
19,2021-03-31 08:41:58,LevelUpEdu1,#LevelUpEdu 501c3 Non-Profit Edu. #Technology. Equity. Curriculum. Leadership. Coaching. Lesson Design. #Inclusion. Blended. Virtual school. #ProjectBased.,"Houston, TX",7061,2020-09-01 01:46:00,1,"[{'text': 'moms', 'indices': [33, 38]}, {'text': 'PandemicFatigue', 'indices': [42, 58]}]","Special 🙏🏽 for all #moms! 💗
#PandemicFatigue Is Especially Real for Moms - Motherly

Four reasons:

1. Multi tasking fatigue
2. Compassion fatigue
3. Zoom fatigue
4. Decision making fatigue
 https://t.co/nvMz89PpM3",LevelUpEdu1,Special for all #moms! #PandemicFatigue Is Especially Real for Moms - Motherly Four reasons: 1. Multi tasking fatigue 2. Compassion fatigue 3. Zoom fatigue 4. Decision making fatigue,"🙏🏽,💗",3,special for all moms pandemicfatigue is especially real for moms motherly four reasons 1 multi tasking fatigue 2 compassion fatigue 3 zoom fatigue 4 decision making fatigue,27
20,2021-03-31 04:34:30,ma1208an,"fb: https://t.co/bxRikAnJMa…

ig: https://t.co/eDKUAKAa95

yt: https://t.co/xPDZYOS63S",,371306,2009-04-11 01:37:09,1,"[{'text': 'pandemicblues', 'indices': [61, 75]}]","The cirle is getting smaller by the day! 

#pandemicblues",ma1208an,The cirle is getting smaller by the day! #pandemicblues,,0,the cirle is getting smaller by the day pandemicblues,9
21,2021-03-31 01:47:57,woolybulldog,"Twitter Legend, Poet, International Whopper Eating Champion, Voted Most Likely to Drop an F Bomb at Church by a Group of My Peers. I Like Aardvarks.","Michigan, USA",11722,2015-12-07 03:10:24,0,"[{'text': 'Covidfatigue', 'indices': [12, 25]}]",I think the #Covidfatigue is really starting to drive me bat shit crazy.,woolybulldog,I think the #Covidfatigue is really starting to drive me bat shit crazy.,,0,i think the covidfatigue is really starting to drive me bat shit crazy,13
22,2021-03-30 09:26:44,cjaisree,"Ardent cricket lover, love carnatic music",,22857,2010-03-17 09:17:08,0,"[{'text': 'CovidFatigue', 'indices': [0, 13]}]",#CovidFatigue fast catching up with everyone .. can’t go out .. won’t go out .. now not interested to go out 😃😃,cjaisree,#CovidFatigue fast catching up with everyone .. cant go out .. wont go out .. now not interested to go out,😃😃,2,covidfatigue fast catching up with everyone cant go out wont go out now not interested to go out,18
23,2021-03-30 08:38:43,rosco1956,Loves life. Up for most things. Fascinated by people. Friends and Family are the most important. 🎗️,Southampton UK,1647,2011-04-07 21:17:20,4,[],"Is anyone else feeling pandemic fatigue? We know we are! Here are 5 helpful tips to help you manage it 👇💭

#pandemicfatigue #mentalhealth https://t.co/RMoknPyi1d",rosco1956,Is anyone else feeling pandemic fatigue? We know we are! Here are 5 helpful tips to help you manage it #pandemicfatigue #mentalhealth,👇💭,2,is anyone else feeling pandemic fatigue we know we are here are 5 helpful tips to help you manage it pandemicfatigue mentalhealth,22
24,2021-03-30 08:31:54,sweetnuthin74,"Hard-working mother of 2;from Caribbean heritage; sister/aunt/friend
*YRDSB teacher*
#SELskills is a MUST!
#RESILIENT 
#BlackLivesMatter","Ontario, CA",106,2013-08-31 03:31:51,0,"[{'text': 'pandemicfatigue', 'indices': [26, 42]}]","💔Just think about this...
#pandemicfatigue https://t.co/sIvKHZTPFo",sweetnuthin74,Just think about this... #pandemicfatigue,💔,1,just think about this pandemicfatigue,5
25,2021-03-30 07:21:31,NftsTyizer,"By purchasing my NFTs you will be helping my purchase my first home.
I am grateful that you stopped by to look at my work!",Earth,113,2021-03-22 03:54:18,4,[],"Every year I treat myself to some 'just for fun' artwork for my birthday. Here's 2021's - """"Pandemic Birthday 2.0""""💀💀💀 

#2021birthday #pandemicfatigue #artistsontwitter https://t.co/RyM5c4VLui",NftsTyizer,"Every year I treat myself to some 'just for fun' artwork for my birthday. Here's 2021's - """"Pandemic Birthday 2.0"""" #2021birthday #pandemicfatigue #artistsontwitter",💀💀💀,3,every year i treat myself to some just for fun artwork for my birthday here's 2021 s pandemic birthday 2.0 2021birthday pandemicfatigue artistsontwitter,23
26,2021-03-30 06:18:29,JosMirek,"Green, anti-imperialist and anti-fascist.  Retweets - not always an endorsement.",,332208,2014-01-28 20:58:48,52,[],"""""Timing is critical""""

""""By the time the [] vaccine was available, concern was lower, &amp; so a lot of people chose not to get it.""""

""""An important aspect of timing is repetition.""""

""""This makes it important that people hear similar messages from a range of messengers.""""

#COVIDFatigue https://t.co/lY8t8UWySz",JosMirek,"""""Timing is critical"""" """"By the time the [] vaccine was available, concern was lower, and so a lot of people chose not to get it."""" """"An important aspect of timing is repetition."""" """"This makes it important that people hear similar messages from a range of messengers."""" #COVIDFatigue",,0,timing is critical by the time the vaccine was available concern was lower and so a lot of people chose not to get it an important aspect of timing is repetition this makes it important that people hear similar messages from a range of messengers covidfatigue,46
27,2021-03-30 04:53:17,mirandambailey,"Sun-Aquarius /Rising-Virgo/ Moon-Leo ~ Basically a workaholic, Multi-Passionate Renaissance Woman🍒
https://t.co/B6EzvwaaHu",Hollywood,10954,2008-10-06 00:58:26,2,[],You know the world has gone to shit when AGENT PROVOCATEUR is selling face masks for $70 and you actually consider it.  @TheMissAP #covid #covidfatigue,mirandambailey,You know the world has gone to shit when AGENT PROVOCATEUR is selling face masks for $70 and you actually consider it. @TheMissAP #covid #covidfatigue,,0,you know the world has gone to shit when agent provocateur is selling face masks for 70 and you actually consider it themissap covid covidfatigue,25
28,2021-03-30 02:50:04,Shys_F,never liked the system 🇳🇬❤️.,Ocean 11,28601,2013-09-29 17:04:25,312,[],"“see you down the road.”  i don’t care if i ever go to another globes, but i dearly hope this thing is in person next year.  i miss the meaningless red carpet nonsense and all the togetherness.  #covidfatigue #GoldenGlobes https://t.co/UqIgkU1or7",Shys_F,"see you down the road. i dont care if i ever go to another globes, but i dearly hope this thing is in person next year. i miss the meaningless red carpet nonsense and all the togetherness. #covidfatigue #GoldenGlobes",,0,see you down the road i dont care if i ever go to another globes but i dearly hope this thing is in person next year i miss the meaningless red carpet nonsense and all the togetherness covidfatigue goldenglobes,39
29,2021-03-30 02:46:37,AineWaterford,,,11813,2019-08-22 21:25:15,3,"[{'text': 'covidfatigue', 'indices': [67, 80]}, {'text': 'clairebyrnelive', 'indices': [82, 98]}]",When Luke O’Neill comes on this is all I see 🤤 #covidfatigue  #clairebyrnelive https://t.co/jK40x1lCxk,AineWaterford,When Luke ONeill comes on this is all I see #covidfatigue #clairebyrnelive,🤤,1,when luke oneill comes on this is all i see covidfatigue clairebyrnelive,12
30,2021-03-30 02:41:27,BaileyeTighe,"Was born a Ravenclaw, but life made me a Slytherin",,2589,2014-01-04 02:08:16,0,"[{'text': 'pandemicfatigue', 'indices': [234, 250]}]",Normally I really love cooking delicious food for my family. Cooking food is my love language. For the past few months I have had no energy for cooking and have been eating a v utilitarian diet. It seems healthier and so much sadder. #pandemicfatigue,BaileyeTighe,Normally I really love cooking delicious food for my family. Cooking food is my love language. For the past few months I have had no energy for cooking and have been eating a v utilitarian diet. It seems healthier and so much sadder. #pandemicfatigue,,0,normally i really love cooking delicious food for my family cooking food is my love language for the past few months i have had no energy for cooking and have been eating a v utilitarian diet it seems healthier and so much sadder pandemicfatigue,44
31,2021-03-30 00:18:15,Alexandria_SZ,@NYTimesBooks Top 100 Books Of Year @UofR KafkaPrize @UofCincy EllistonPoetryPrize. #Migraine writer @TheMightySite etc. CoHost #SexAbuseChat #BookMarketingChat,#MeToo #BelieveSurvivors,204972,2011-09-11 01:40:15,2,"[{'text': 'success', 'indices': [48, 56]}]","Is the unattainable definition of #success of earning an income depressing you into immobility? Try refocusing to lift you up off the couch into being quietly pleased. @PsychToday https://t.co/nuwQkCNJfd
#pandemic #MondayBlogs #LongCovid #BrainInjury #concussion #COVIDFatigue",Alexandria_SZ,Is the unattainable definition of #success of earning an income depressing you into immobility? Try refocusing to lift you up off the couch into being quietly pleased. @PsychToday #pandemic #MondayBlogs #LongCovid #BrainInjury #concussion #COVIDFatigue,,0,is the unattainable definition of success of earning an income depressing you into immobility try refocusing to lift you up off the couch into being quietly pleased psychtoday pandemic mondayblogs longcovid braininjury concussion covidfatigue,34
32,2021-03-29 23:31:48,sobercompanion1,"🇨🇦 My name is Rob; And Iam a person in Long-term Recovery.
 I'm a Peer Recovery Support Specialist with lived experience in Co-occurring Disorders. 🇨🇦",Winnipeg Manitoba Canada,7561,2013-11-17 23:13:12,0,"[{'text': 'PandemicFatigue', 'indices': [60, 76]}]",@milliedechirico @EddieMuller Something to look forward to! #PandemicFatigue,sobercompanion1,@milliedechirico @EddieMuller Something to look forward to! #PandemicFatigue,,0,milliedechirico eddiemuller something to look forward to pandemicfatigue,8
33,2021-03-29 22:24:16,abbie_fran,Kəwéwtawi? Penobscot. Social worker committed to ethical trauma informed practice & social justice change at macro levels. No DMs ✌🏼,"North East, USA",2789,2019-08-18 19:56:53,0,"[{'text': 'PandemicFatigue', 'indices': [38, 54]}]",This is the truth 💣 tweet of the day. #PandemicFatigue https://t.co/U0XNZwEnjK,abbie_fran,This is the truth tweet of the day. #PandemicFatigue,💣,1,this is the truth tweet of the day pandemicfatigue,9
34,2021-03-29 22:00:32,FlyerTalkerinA2,An eclectic journey through the Travel Miles/Points Blogosphere.,"Ann Arbor, Michigan",62250,2009-06-19 03:58:33,0,"[{'text': 'Hawaii', 'indices': [32, 39]}, {'text': 'Cities', 'indices': [55, 62]}, {'text': 'CovidFatigue', 'indices': [64, 77]}, {'text': 'Debt', 'indices': [83, 88]}, {'text': 'Emirates', 'indices': [90, 99]}, {'text': 'Travel', 'indices': [129, 136]}]","Random TBB Post from the Past - #Hawaii Opens, Highest #Cities, #CovidFatigue, USA #Debt, #Emirates Aboard Shower, Buyer Clubs - #Travel Blogger Buzz https://t.co/lzWaqHuHC3 https://t.co/Kp3i5XY6GG",FlyerTalkerinA2,"Random TBB Post from the Past - #Hawaii Opens, Highest #Cities, #CovidFatigue, USA #Debt, #Emirates Aboard Shower, Buyer Clubs - #Travel Blogger Buzz",,0,random tbb post from the past hawaii opens highest cities covidfatigue usa debt emirates aboard shower buyer clubs travel blogger buzz,21
35,2021-03-29 21:23:06,danny47291,,"Greater Vancouver, British Columbia",9293,2011-12-25 01:58:01,0,"[{'text': 'covidfatigue', 'indices': [138, 151]}]",@j_mcelroy The holes are been dug this is just not gonna do much just wait till weather warms up it’s game over people are sick of covid. #covidfatigue,danny47291,@j_mcelroy The holes are been dug this is just not gonna do much just wait till weather warms up its game over people are sick of covid. #covidfatigue,,0,j_mcelroy the holes are been dug this is just not gonna do much just wait till weather warms up its game over people are sick of covid covidfatigue,28
36,2021-03-29 21:22:36,MINITee,"Closet foodie, MINI driver, animal lover, driven by music and coffee   ✌️💜🇨🇦🎧 ☕️🇨🇦

*opinions expressed are my own",London Ontario,20144,2008-10-14 16:04:21,0,"[{'text': 'COVID19Ontario', 'indices': [55, 70]}, {'text': 'covidfatigue', 'indices': [72, 85]}]","If only Canada could get it's collective 💩 together  

#COVID19Ontario 
#covidfatigue https://t.co/9Z57ACGAc6",MINITee,If only Canada could get it's collective together #COVID19Ontario #covidfatigue,💩,1,if only canada could get it's collective together covid19ontario covidfatigue,10
37,2021-03-29 21:01:22,ayanaedts,The magic is in the edit...,Paris-DC-Trini,1777,2014-05-06 20:29:16,0,"[{'text': 'covidfatigue', 'indices': [190, 203]}]","After last year, I'm scared of celebrating things. I got such good news today but in the back of my mind I feel like it's too good to be true and something bad is lurking around the corner. #covidfatigue",ayanaedts,"After last year, I'm scared of celebrating things. I got such good news today but in the back of my mind I feel like it's too good to be true and something bad is lurking around the corner. #covidfatigue",,0,after last year i'm scared of celebrating things i got such good news today but in the back of my mind i feel like it's too good to be true and something bad is lurking around the corner covidfatigue,39
