,created_at,username,acctdesc,location,total_tweets_created,account_creation_date,retweetcounts,hashtags,tweet_text,clean_text,word_count,emojis,emoji_count
11,2021-03-30 17:41:39,Victori62119657,,,5676,2020-01-16 15:15:47,41,"[{'text': 'flowers', 'indices': [43, 51]}, {'text': 'SpringIsComing', 'indices': [52, 67]}, {'text': 'DaylightSavingTime', 'indices': [68, 87]}, {'text': 'HamOnt', 'indices': [88, 95]}, {'text': 'photography', 'indices': [96, 108]}, {'text': 'ThePhotoHour', 'indices': [109, 122]}, {'text': 'Covidfatigue', 'indices': [123, 136]}]","And it was called Yellow
#flowers #SpringIsComing #DaylightSavingTime #HamOnt #photography #ThePhotoHour #Covidfatigue #hope https://t.co/ZYn2wAUOdB",and it was called yellow flowers springiscoming daylightsavingtime hamont photography thephotohour covidfatigue hope,13,,0
12,2021-03-30 16:54:47,SciRy2,"Postdoc @upitt studying aging and oxidative stress. In @Opreskolab. He/him 🏳️‍🌈. Opinions are my own. Black lives, trans lives, asian lives matter. No debate","Pittsburgh, PA",118,2020-11-28 23:33:22,0,"[{'text': 'covid19', 'indices': [141, 149]}, {'text': 'thisisfine', 'indices': [150, 161]}, {'text': 'killme', 'indices': [162, 169]}, {'text': 'petty', 'indices': [170, 176]}, {'text': 'pandemic', 'indices': [177, 186]}, {'text': 'covidfatigue', 'indices': [187, 200]}]","When you choose to eat lunch as a group inside at work AND be loud, it's like how are you not asking to be judged during a pandemi lovato??? #covid19 #thisisfine #killme #petty #pandemic #covidfatigue",when you choose to eat lunch as a group inside at work and be loud it's like how are you not asking to be judged during a pandemi lovato covid19 thisisfine killme petty pandemic covidfatigue,35,,0
13,2021-03-30 16:49:54,ARCProGroup,#Concierge #mentalhealth team led by Former Testing #Psychologist in NFL #SubstanceAbuse Program. #Addiction #Divorce #Career #Wellness #Forensics #VIP,"Chicago, IL",21066,2012-04-10 03:23:51,0,"[{'text': 'chicago', 'indices': [34, 42]}, {'text': 'covid19', 'indices': [49, 57]}, {'text': 'mask', 'indices': [110, 115]}, {'text': 'SocialDistancing', 'indices': [117, 134]}, {'text': 'WashYourHands', 'indices': [136, 150]}, {'text': 'resilient', 'indices': [160, 170]}, {'text': 'PandemicFatigue', 'indices': [189, 205]}]","Important reminder, especially in #chicago where #covid19 cases are rising. Gotta dig deep and keep wearing a #mask, #SocialDistancing! #WashYourHands Let’s be #resilient and not give in 2 #PandemicFatigue! We can do this! https://t.co/gMmltBDCMO",important reminder especially in chicago where covid19 cases are rising gotta dig deep and keep wearing a mask socialdistancing washyourhands lets be resilient and not give in 2 pandemicfatigue we can do this,33,,0
14,2021-03-30 16:43:05,renegadexbio,"Rapid COVID-19 testing capacity for community and public health. An agile team of science, technology, and logistics experts.",San Francisco Bay Area,464,2020-03-16 20:49:01,0,"[{'text': 'StaySafe', 'indices': [59, 68]}, {'text': 'PandemicFatigue', 'indices': [69, 85]}]","Don't let pandemic fatigue turn into a pandemic burnout!😷

#StaySafe #PandemicFatigue https://t.co/ZhYwLRStly",don't let pandemic fatigue turn into a pandemic burnout staysafe pandemicfatigue,11,😷,1
15,2021-03-30 16:43:05,katemoran,"Global Citizen, President, @Ocean_Networks Served in Pres. Obama's Office of Science & Technology Policy Tenacious about Climate Action Poodle lover Mask wearer","Victoria, British Columbia",2439,2009-02-13 16:41:15,0,"[{'text': 'covidblues', 'indices': [58, 69]}]",Let's do this in BC too!!! Major help in dealing with the #covidblues https://t.co/98QzrGeP9O,let's do this in bc too major help in dealing with the covidblues,13,,0
16,2021-03-30 16:03:56,shuchig,"learning scientist, computer scientist, learner, researcher, educator, entrepreneur, editor & co-author of @a2zk12cs | #CSER #CSEd #coding #csk8 #CSforALL #BLM","Stanford, CA",12809,2009-05-29 03:26:59,0,"[{'text': 'COVID19', 'indices': [48, 56]}, {'text': 'CovidBurnout', 'indices': [66, 79]}]",So much untold damage in the wake of the deadly #COVID19 pandemic #CovidBurnout  https://t.co/lQZ9ieYqWH,so much untold damage in the wake of the deadly covid19 pandemic covidburnout,13,,0
17,2021-03-30 15:08:19,djkrieger,,N 35°5' 0'' / W 89°43' 0'',13543,2008-08-12 00:05:02,0,"[{'text': 'PandemicFatigue', 'indices': [228, 244]}, {'text': 'COVID19', 'indices': [245, 253]}, {'text': 'Sanitizing', 'indices': [254, 265]}]","Coronaviruses are relatively easy to kill on surfaces if you are using the right products the right way.

Read more 👉 Pandemic Fatigue Could Lead to a Higher Number of COVID-19 Deaths

https://t.co/hZ1FYtcNOG

@CleanInstitute

 #PandemicFatigue #COVID19 #Sanitizing https://t.co/njkmxIL2BY",coronaviruses are relatively easy to kill on surfaces if you are using the right products the right way read more pandemic fatigue could lead to a higher number of covid 19 deaths cleaninstitute pandemicfatigue covid19 sanitizing,36,👉,1
18,2021-03-30 14:15:13,RimaPathak1,"My passion for art, enthusiasm for travel and love for medicine that fulfills and satisfies my soul keeps me going!",,415,2019-10-23 14:38:38,0,"[{'text': 'Covidiots', 'indices': [34, 44]}, {'text': 'antivaxxers', 'indices': [45, 57]}, {'text': 'MaskUp', 'indices': [58, 65]}, {'text': 'PandemicFatigue', 'indices': [130, 146]}]",Waiting patiently for the deluge! #Covidiots #antivaxxers #MaskUp and help to save lives of the vulnerable strata of the society! #PandemicFatigue has hit us all but exercise restraint so that someone who wants to live gets to! https://t.co/Fvoiynn9I2,waiting patiently for the deluge covidiots antivaxxers maskup and help to save lives of the vulnerable strata of the society pandemicfatigue has hit us all but exercise restraint so that someone who wants to live gets to,37,,0
19,2021-03-30 13:45:08,BMLeadership,Leadership Mentor | Performance Coach | Keynote Speaker | Best Selling Author. https://t.co/bupO7c5QUt #LeadOn,"Hertfordshire, UK",10748,2011-06-15 10:43:23,0,"[{'text': 'pandemicfatigue', 'indices': [164, 180]}, {'text': 'Leadership', 'indices': [185, 196]}, {'text': 'COVID19', 'indices': [197, 205]}, {'text': 'Remoteteams', 'indices': [206, 218]}]","From the emails and messages I am receiving at the moment, there are many people struggling at the moment. So, here's a 2-part blog with tips and ideas for beating #pandemicfatigue ... #Leadership #COVID19 #Remoteteams
https://t.co/UA8ktnoi63 https://t.co/62bbrWcNM7",from the emails and messages i am receiving at the moment there are many people struggling at the moment so here's a 2 part blog with tips and ideas for beating pandemicfatigue leadership covid19 remoteteams,35,,0
20,2021-03-30 13:43:12,MimiG2905,,"Ottawa, Ontario",571,2017-12-07 00:37:37,0,"[{'text': 'covidfatigue', 'indices': [197, 210]}, {'text': 'sarcasm', 'indices': [211, 219]}, {'text': 'canwejustgetthroughthis', 'indices': [220, 244]}]","Oh, I know...pandemic is in a 3rd wave...let's open up everything!! Get those kids in school, open up the restaurants, gyms and everything but don't gather for Easter. No definitely don't do that. #covidfatigue #sarcasm #canwejustgetthroughthis",oh i know pandemic is in a 3rd wave let's open up everything get those kids in school open up the restaurants gyms and everything but don't gather for easter no definitely don't do that covidfatigue sarcasm canwejustgetthroughthis,38,,0
21,2021-03-30 10:29:10,mkrivich,"Internationally followed blogger, Global influencer, Husband, Dad, Dog lover. Healthcare mktg strategist. F1 fan. Author. RT #endorsements","Global, USA, Chicago",63330,2009-03-22 17:24:31,0,"[{'text': 'covid19', 'indices': [80, 88]}, {'text': 'pandemic', 'indices': [90, 99]}, {'text': 'ideas', 'indices': [101, 107]}, {'text': 'sm', 'indices': [109, 112]}, {'text': 'global', 'indices': [113, 120]}, {'text': 'advcie', 'indices': [122, 129]}, {'text': 'influencer', 'indices': [131, 142]}, {'text': 'blog', 'indices': [144, 149]}, {'text': 'blogger', 'indices': [151, 159]}, {'text': 'lists', 'indices': [161, 167]}, {'text': 'solutions', 'indices': [169, 179]}, {'text': 'pandemicfatigue', 'indices': [181, 197]}, {'text': 'twitter', 'indices': [199, 207]}, {'text': 'instagram', 'indices': [209, 219]}, {'text': 'tiktok', 'indices': [221, 228]}]","22 Helpful, Powerful Blog Posts for Surviving the Worldwide COVID-19 Resurgence #covid19, #pandemic, #ideas, #sm #global, #advcie, #influencer, #blog, #blogger, #lists, #solutions, #pandemicfatigue, #twitter, #instagram, #tiktok https://t.co/C91TLklh0K",22 helpful powerful blog posts for surviving the worldwide covid 19 resurgence covid19 pandemic ideas sm global advcie influencer blog blogger lists solutions pandemicfatigue twitter instagram tiktok,27,,0
22,2021-03-30 09:26:44,cjaisree,"Ardent cricket lover, love carnatic music",,22857,2010-03-17 09:17:08,0,"[{'text': 'CovidFatigue', 'indices': [0, 13]}]",#CovidFatigue fast catching up with everyone .. can’t go out .. won’t go out .. now not interested to go out 😃😃,covidfatigue fast catching up with everyone cant go out wont go out now not interested to go out,18,😃😃,2
23,2021-03-30 08:38:43,rosco1956,Loves life. Up for most things. Fascinated by people. Friends and Family are the most important. 🎗️,Southampton UK,1647,2011-04-07 21:17:20,4,[],"Is anyone else feeling pandemic fatigue? We know we are! Here are 5 helpful tips to help you manage it 👇💭

#pandemicfatigue #mentalhealth https://t.co/RMoknPyi1d",is anyone else feeling pandemic fatigue we know we are here are 5 helpful tips to help you manage it pandemicfatigue mentalhealth,22,👇💭,2
24,2021-03-30 08:31:54,sweetnuthin74,"Hard-working mother of 2;from Caribbean heritage; sister/aunt/friend
*YRDSB teacher*
#SELskills is a MUST!
#RESILIENT 
#BlackLivesMatter","Ontario, CA",106,2013-08-31 03:31:51,0,"[{'text': 'pandemicfatigue', 'indices': [26, 42]}]","💔Just think about this...
#pandemicfatigue https://t.co/sIvKHZTPFo",just think about this pandemicfatigue,5,💔,1
25,2021-03-30 07:21:31,NftsTyizer,"By purchasing my NFTs you will be helping my purchase my first home.
I am grateful that you stopped by to look at my work!",Earth,113,2021-03-22 03:54:18,4,[],"Every year I treat myself to some 'just for fun' artwork for my birthday. Here's 2021's - """"Pandemic Birthday 2.0""""💀💀💀 

#2021birthday #pandemicfatigue #artistsontwitter https://t.co/RyM5c4VLui",every year i treat myself to some just for fun artwork for my birthday here's 2021 s pandemic birthday 2.0 2021birthday pandemicfatigue artistsontwitter,23,💀💀💀,3
26,2021-03-30 06:18:29,JosMirek,"Green, anti-imperialist and anti-fascist.  Retweets - not always an endorsement.",,332208,2014-01-28 20:58:48,52,[],"""""Timing is critical""""

""""By the time the [] vaccine was available, concern was lower, &amp; so a lot of people chose not to get it.""""

""""An important aspect of timing is repetition.""""

""""This makes it important that people hear similar messages from a range of messengers.""""

#COVIDFatigue https://t.co/lY8t8UWySz",timing is critical by the time the vaccine was available concern was lower and so a lot of people chose not to get it an important aspect of timing is repetition this makes it important that people hear similar messages from a range of messengers covidfatigue,46,,0
27,2021-03-30 04:53:17,mirandambailey,"Sun-Aquarius /Rising-Virgo/ Moon-Leo ~ Basically a workaholic, Multi-Passionate Renaissance Woman🍒
https://t.co/B6EzvwaaHu",Hollywood,10954,2008-10-06 00:58:26,2,[],You know the world has gone to shit when AGENT PROVOCATEUR is selling face masks for $70 and you actually consider it.  @TheMissAP #covid #covidfatigue,you know the world has gone to shit when agent provocateur is selling face masks for 70 and you actually consider it themissap covid covidfatigue,25,,0
28,2021-03-30 02:50:04,Shys_F,never liked the system 🇳🇬❤️.,Ocean 11,28601,2013-09-29 17:04:25,312,[],"“see you down the road.”  i don’t care if i ever go to another globes, but i dearly hope this thing is in person next year.  i miss the meaningless red carpet nonsense and all the togetherness.  #covidfatigue #GoldenGlobes https://t.co/UqIgkU1or7",see you down the road i dont care if i ever go to another globes but i dearly hope this thing is in person next year i miss the meaningless red carpet nonsense and all the togetherness covidfatigue goldenglobes,39,,0
29,2021-03-30 02:46:37,AineWaterford,,,11813,2019-08-22 21:25:15,3,"[{'text': 'covidfatigue', 'indices': [67, 80]}, {'text': 'clairebyrnelive', 'indices': [82, 98]}]",When Luke O’Neill comes on this is all I see 🤤 #covidfatigue  #clairebyrnelive https://t.co/jK40x1lCxk,when luke oneill comes on this is all i see covidfatigue clairebyrnelive,12,🤤,1
30,2021-03-30 02:41:27,BaileyeTighe,"Was born a Ravenclaw, but life made me a Slytherin",,2589,2014-01-04 02:08:16,0,"[{'text': 'pandemicfatigue', 'indices': [234, 250]}]",Normally I really love cooking delicious food for my family. Cooking food is my love language. For the past few months I have had no energy for cooking and have been eating a v utilitarian diet. It seems healthier and so much sadder. #pandemicfatigue,normally i really love cooking delicious food for my family cooking food is my love language for the past few months i have had no energy for cooking and have been eating a v utilitarian diet it seems healthier and so much sadder pandemicfatigue,44,,0
31,2021-03-30 00:18:15,Alexandria_SZ,@NYTimesBooks Top 100 Books Of Year @UofR KafkaPrize @UofCincy EllistonPoetryPrize. #Migraine writer @TheMightySite etc. CoHost #SexAbuseChat #BookMarketingChat,#MeToo #BelieveSurvivors,204972,2011-09-11 01:40:15,2,"[{'text': 'success', 'indices': [48, 56]}]","Is the unattainable definition of #success of earning an income depressing you into immobility? Try refocusing to lift you up off the couch into being quietly pleased. @PsychToday https://t.co/nuwQkCNJfd
#pandemic #MondayBlogs #LongCovid #BrainInjury #concussion #COVIDFatigue",is the unattainable definition of success of earning an income depressing you into immobility try refocusing to lift you up off the couch into being quietly pleased psychtoday pandemic mondayblogs longcovid braininjury concussion covidfatigue,34,,0
32,2021-03-29 23:31:48,sobercompanion1,"🇨🇦 My name is Rob; And Iam a person in Long-term Recovery.
 I'm a Peer Recovery Support Specialist with lived experience in Co-occurring Disorders. 🇨🇦",Winnipeg Manitoba Canada,7561,2013-11-17 23:13:12,0,"[{'text': 'PandemicFatigue', 'indices': [60, 76]}]",@milliedechirico @EddieMuller Something to look forward to! #PandemicFatigue,milliedechirico eddiemuller something to look forward to pandemicfatigue,8,,0
33,2021-03-29 22:24:16,abbie_fran,Kəwéwtawi? Penobscot. Social worker committed to ethical trauma informed practice & social justice change at macro levels. No DMs ✌🏼,"North East, USA",2789,2019-08-18 19:56:53,0,"[{'text': 'PandemicFatigue', 'indices': [38, 54]}]",This is the truth 💣 tweet of the day. #PandemicFatigue https://t.co/U0XNZwEnjK,this is the truth tweet of the day pandemicfatigue,9,💣,1
34,2021-03-29 22:00:32,FlyerTalkerinA2,An eclectic journey through the Travel Miles/Points Blogosphere.,"Ann Arbor, Michigan",62250,2009-06-19 03:58:33,0,"[{'text': 'Hawaii', 'indices': [32, 39]}, {'text': 'Cities', 'indices': [55, 62]}, {'text': 'CovidFatigue', 'indices': [64, 77]}, {'text': 'Debt', 'indices': [83, 88]}, {'text': 'Emirates', 'indices': [90, 99]}, {'text': 'Travel', 'indices': [129, 136]}]","Random TBB Post from the Past - #Hawaii Opens, Highest #Cities, #CovidFatigue, USA #Debt, #Emirates Aboard Shower, Buyer Clubs - #Travel Blogger Buzz https://t.co/lzWaqHuHC3 https://t.co/Kp3i5XY6GG",random tbb post from the past hawaii opens highest cities covidfatigue usa debt emirates aboard shower buyer clubs travel blogger buzz,21,,0
35,2021-03-29 21:23:06,danny47291,,"Greater Vancouver, British Columbia",9293,2011-12-25 01:58:01,0,"[{'text': 'covidfatigue', 'indices': [138, 151]}]",@j_mcelroy The holes are been dug this is just not gonna do much just wait till weather warms up it’s game over people are sick of covid. #covidfatigue,j_mcelroy the holes are been dug this is just not gonna do much just wait till weather warms up its game over people are sick of covid covidfatigue,28,,0
36,2021-03-29 21:22:36,MINITee,"Closet foodie, MINI driver, animal lover, driven by music and coffee   ✌️💜🇨🇦🎧 ☕️🇨🇦

*opinions expressed are my own",London Ontario,20144,2008-10-14 16:04:21,0,"[{'text': 'COVID19Ontario', 'indices': [55, 70]}, {'text': 'covidfatigue', 'indices': [72, 85]}]","If only Canada could get it's collective 💩 together  

#COVID19Ontario 
#covidfatigue https://t.co/9Z57ACGAc6",if only canada could get it's collective together covid19ontario covidfatigue,10,💩,1
37,2021-03-29 21:01:22,ayanaedts,The magic is in the edit...,Paris-DC-Trini,1777,2014-05-06 20:29:16,0,"[{'text': 'covidfatigue', 'indices': [190, 203]}]","After last year, I'm scared of celebrating things. I got such good news today but in the back of my mind I feel like it's too good to be true and something bad is lurking around the corner. #covidfatigue",after last year i'm scared of celebrating things i got such good news today but in the back of my mind i feel like it's too good to be true and something bad is lurking around the corner covidfatigue,39,,0
38,2021-03-29 19:45:09,ShelteringGrace,"Sheltering Grace Ministry (SGM) offers a comprehensive housing program providing shelter, mentorship, resources, and guidance to homeless expectant mothers.","Marietta, GA",26966,2010-03-12 20:40:16,0,"[{'text': 'Healthtips', 'indices': [215, 226]}, {'text': 'Health', 'indices': [227, 234]}, {'text': 'pandemicfatigue', 'indices': [235, 251]}, {'text': 'shelteringgrace', 'indices': [252, 268]}]","After months of unfamiliar restrictions and guidelines, pandemic fatigue is affecting how some Americans protect their health. 
Health tips to navigate year 2 of the Pandemic. 
@PRNewswire https://t.co/PMfa2YQzib 
 #Healthtips #Health #pandemicfatigue #shelteringgrace https://t.co/iGcS6ifnA5",after months of unfamiliar restrictions and guidelines pandemic fatigue is affecting how some americans protect their health health tips to navigate year 2 of the pandemic prnewswire healthtips health pandemicfatigue shelteringgrace,31,,0
39,2021-03-29 18:18:13,Kyle2uSuccess,Transform your life with #success 💯 Personal development focused on success for #Millennials via @Kyle2_U,,133170,2018-01-02 05:48:06,1,"[{'text': 'COVIDBlues', 'indices': [48, 59]}, {'text': 'speakingbusiness', 'indices': [81, 98]}]","Need some help overcoming the #COVIDBlues so you can move your #speakingbusiness forward?

Here is some inspiration &amp; words of encouragement from #professionalspeaker, @JCAdventures1, to help you do that: https://t.co/xfKJLUOz8R

#success #speakertraining #speakingadvice https://t.co/BZOLuWlLFu",need some help overcoming the covidblues so you can move your speakingbusiness forward here is some inspiration and words of encouragement from professionalspeaker jcadventures1 to help you do that success speakertraining speakingadvice,32,,0
40,2021-03-29 18:13:28,danny47291,,"Greater Vancouver, British Columbia",9293,2011-12-25 01:58:01,0,"[{'text': 'covidfatigue', 'indices': [159, 172]}, {'text': 'covididiots', 'indices': [174, 186]}]",@unionwill @Enigmius1 @suestroud @Fraserhealth @jjhorgan This is just a few people I know how many more work places and people dong care anymore or never did. #covidfatigue. #covididiots are you working from home or work for a big employer than you don’t know real world. Work place won’t give you mask they don’t care about covid,unionwill enigmius1 suestroud fraserhealth jjhorgan this is just a few people i know how many more work places and people dong care anymore or never did covidfatigue covididiots are you working from home or work for a big employer than you dont know real world work place wont give you mask they dont care about covid,56,,0
41,2021-03-29 18:04:16,hgracestewart,"Journalist, Poet, Author. I see good stories. The Ticket optioned to become a movie 🍿Strangely, Incredibly Good, 2021 Winner #TaleFlick #bookstofilm","Montreal, Canada",774,2009-01-09 21:13:33,1,[],"Hubby just brought home the drink Bubly and the three of us spent 15 minutes debating if it’s Boo-blee or Boo-blay like his name, so please everyone get vaccinated ASAP so we can all lead more exciting lives. #pandemicblues @MichaelBuble 😘 https://t.co/SO8y4BlIst",hubby just brought home the drink bubly and the three of us spent 15 minutes debating if its boo blee or boo blay like his name so please everyone get vaccinated asap so we can all lead more exciting lives pandemicblues michaelbuble,42,😘,1
42,2021-03-29 17:32:08,chrislongview,"Proud Montanan & Floridian. Huge nerd w/ a lab named Shelby. I raise lots of $ for stuff. Loves: Emory, Vanderbilt, Columbia, USF, beach, clearly a homo.","Florida, USA",262545,2016-11-21 05:24:53,2,[],"@chrislongview I'm telling you, it's like they've been coached by Disney's theme parks on this expectations management, and I'm not hating them for it. Right in the middle of this news of a new surge, announcing more improvements in the vaccine process can only help with #pandemicfatigue",chrislongview i'm telling you it's like they've been coached by disney's theme parks on this expectations management and i'm not hating them for it right in the middle of this news of a new surge announcing more improvements in the vaccine process can only help with pandemicfatigue,47,,0
43,2021-03-29 16:49:55,jonesn4me,,Denham Springs,12668,2011-05-15 23:00:29,0,"[{'text': 'secretkeeper', 'indices': [97, 110]}, {'text': 'myrideordie', 'indices': [111, 123]}, {'text': 'myfirstfirstlove', 'indices': [124, 141]}, {'text': 'myfirstborn', 'indices': [142, 154]}, {'text': 'mysuperstar', 'indices': [155, 167]}, {'text': 'lilredgirl', 'indices': [168, 179]}, {'text': 'covidblues', 'indices': [180, 191]}]",“A daughter is just a little girl who grows up to be your best friend.”Happy 17th birthday to my #secretkeeper #myrideordie #myfirstfirstlove #myfirstborn #mysuperstar #lilredgirl #covidblues https://t.co/WdVEN3opNA,a daughter is just a little girl who grows up to be your best friend.happy 17th birthday to my secretkeeper myrideordie myfirstfirstlove myfirstborn mysuperstar lilredgirl covidblues,26,,0
44,2021-03-29 16:14:40,jrossean,BYU Fan. UVU Futból Supporter. Dad. Libertarian. Capitalist. Church of Jesus Christ of LDS.,"provo, ut",8218,2009-04-22 05:20:34,0,"[{'text': 'covidfatigue', 'indices': [41, 54]}]",This is never really going to end is it? #covidfatigue https://t.co/v80R9p8a7o,this is never really going to end is it covidfatigue,10,,0
45,2021-03-29 16:14:15,NeilNeart,,Dingle,50,2013-10-30 12:41:28,0,"[{'text': 'testandtrace', 'indices': [92, 105]}, {'text': 'pandemicfatigue', 'indices': [127, 143]}, {'text': 'clairebyrnelive', 'indices': [147, 163]}, {'text': 'NPHET', 'indices': [233, 239]}]","@jondmpsy @rtenews Over a year ago WHO said ockdowns are to flatten the curve and to set up #testandtrace. Dr Tony H mentioned #pandemicfatigue on #clairebyrnelive last March. The narrative and logic applied by NPHET keeps changing. #NPHET's stated objectives are to save the HSE, not the country.",jondmpsy rtenews over a year ago who said ockdowns are to flatten the curve and to set up testandtrace dr tony h mentioned pandemicfatigue on clairebyrnelive last march the narrative and logic applied by nphet keeps changing nphet's stated objectives are to save the hse not the country,48,,0
46,2021-03-29 15:21:50,TheMillenialTh1,Snowflake millenial therapist • 🏳️‍🌈 • 🤷🏾‍♀️,"London, England",163,2020-01-19 20:37:30,0,"[{'text': 'covidfatigue', 'indices': [93, 106]}, {'text': 'depression', 'indices': [107, 118]}, {'text': 'MentalHealthAwareness', 'indices': [119, 141]}]",Can we normalise mental health professionals struggling with mental illness thank you please #covidfatigue #depression #MentalHealthAwareness,can we normalise mental health professionals struggling with mental illness thank you please covidfatigue depression mentalhealthawareness,16,,0
